   1 	    19.5334 
   2 	    22.0554 
   3 	    24.5021 
   4 	    27.0089 
   5 	    29.5581 
   6 	    32.1093 
   7 	    34.5650 
   8 	    37.1899 
   9 	    39.7226 
  10 	    42.1732 
  11 	    44.7148 
  12 	    47.1941 
  13 	    49.6786 
  14 	    52.1974 
  15 	    54.8386 
  16 	    57.3094 
  17 	    59.7396 
  18 	    62.3443 
  19 	    64.8662 
  20 	    67.3034 
  21 	    69.9408 
  22 	    72.4352 
  23 	    74.8034 
  24 	    77.4163 
  25 	    79.9824 
  26 	    82.4518 
  27 	    85.0130 
  28 	    87.5285 
