   1 	     6.1640 
   2 	     8.4930 
   3 	    11.0851 
   4 	    13.5472 
   5 	    16.1211 
   6 	    18.6302 
   7 	    21.0863 
   8 	    23.7296 
   9 	    26.1404 
  10 	    28.7428 
  11 	    31.2800 
  12 	    33.8021 
  13 	    36.3001 
  14 	    38.8659 
  15 	    41.3350 
  16 	    43.9020 
  17 	    46.3723 
  18 	    48.9757 
  19 	    51.4663 
  20 	    53.9427 
  21 	    56.4255 
  22 	    58.9622 
  23 	    61.4035 
  24 	    64.0419 
  25 	    66.6002 
  26 	    69.0371 
  27 	    71.6296 
  28 	    74.1711 
