   1 	   130.8532 
   2 	   133.4223 
   3 	   135.9625 
   4 	   138.4803 
   5 	   141.0637 
   6 	   143.5509 
   7 	   146.0884 
   8 	   148.6002 
   9 	   151.0409 
  10 	   153.6653 
  11 	   156.0089 
  12 	   158.6844 
  13 	   161.1206 
  14 	   163.5996 
  15 	   166.1879 
  16 	   168.6686 
  17 	   171.1852 
  18 	   173.4974 
  19 	   176.1037 
  20 	   178.7844 
  21 	   181.1225 
  22 	   183.6811 
  23 	   186.0681 
  24 	   188.7566 
  25 	   191.2845 
  26 	   193.7994 
  27 	   196.2502 
