   1 	     4.5667 
   2 	     7.0748 
   3 	     9.6209 
   4 	    12.1639 
   5 	    14.6545 
   6 	    17.1278 
   7 	    19.6986 
   8 	    22.2200 
   9 	    24.7687 
  10 	    27.2444 
  11 	    29.7304 
  12 	    32.2733 
  13 	    34.7588 
  14 	    37.2860 
  15 	    39.8081 
  16 	    42.3065 
  17 	    44.8294 
  18 	    47.3648 
  19 	    49.8462 
  20 	    52.3748 
  21 	    54.8850 
  22 	    57.3979 
  23 	    59.9129 
  24 	    62.4472 
  25 	    64.9584 
  26 	    67.4807 
  27 	    69.9687 
